Timestamp,Packet_Length,Proto_TCP,Proto_UDP,Proto_ICMP,TCP_SYN,TCP_ACK,TCP_RST,Packet_Rate_1s
1785760993.536173,40,1,0,0,1,0,0,67.0
1785760993.551338,40,1,0,0,1,0,0,67.0
1785760993.566704,40,1,0,0,1,0,0,67.0
1785760993.581833,40,1,0,0,1,0,0,67.0
1785760993.596814,40,1,0,0,1,0,0,67.0
1785760993.612941,40,1,0,0,1,0,0,67.0
1785760993.627726,40,1,0,0,1,0,0,67.0
1785760993.643598,40,1,0,0,1,0,0,67.0
1785760993.658635,40,1,0,0,1,0,0,67.0
1785760993.674683,40,1,0,0,1,0,0,67.0
1785760993.690742,40,1,0,0,1,0,0,67.0
1785760993.705760,40,1,0,0,1,0,0,67.0
1785760993.720799,40,1,0,0,1,0,0,67.0
1785760993.735521,40,1,0,0,1,0,0,67.0
1785760993.751070,40,1,0,0,1,0,0,67.0
1785760993.766543,40,1,0,0,1,0,0,67.0
1785760993.781826,40,1,0,0,1,0,0,67.0
1785760993.796780,40,1,0,0,1,0,0,67.0
1785760993.811493,40,1,0,0,1,0,0,67.0
1785760993.826216,40,1,0,0,1,0,0,67.0
1785760993.841803,40,1,0,0,1,0,0,67.0
1785760993.856776,40,1,0,0,1,0,0,67.0
1785760993.871491,40,1,0,0,1,0,0,67.0
1785760993.886512,40,1,0,0,1,0,0,67.0
1785760993.901091,40,1,0,0,1,0,0,67.0
1785760993.916915,40,1,0,0,1,0,0,67.0
1785760993.931687,40,1,0,0,1,0,0,67.0
1785760993.946925,40,1,0,0,1,0,0,67.0
1785760993.961603,40,1,0,0,1,0,0,67.0
1785760993.976266,40,1,0,0,1,0,0,67.0
1785760993.990992,40,1,0,0,1,0,0,67.0
1785760994.006720,40,1,0,0,1,0,0,67.0
1785760994.021880,40,1,0,0,1,0,0,67.0
1785760994.036250,40,1,0,0,1,0,0,67.0
1785760994.051793,40,1,0,0,1,0,0,67.0
1785760994.066819,40,1,0,0,1,0,0,67.0
1785760994.082308,40,1,0,0,1,0,0,67.0
1785760994.096853,40,1,0,0,1,0,0,67.0
