Packet_Length,Proto_TCP,Proto_UDP,Proto_ICMP,TCP_SYN,TCP_ACK,TCP_RST,Packet_Rate_1s
1.2613246458782552,1,0,0,0,1,0,0.03609901955125398
1.1520826373466357,1,0,0,0,1,0,-0.17216016377460364
-1.1419995418173785,1,0,0,0,1,0,-0.3278286442403962
1.1520826373466357,1,0,0,0,1,0,1.4749806498026339
1.1520826373466357,1,0,0,0,1,0,0.17493847510182572
0.3327675733594877,1,0,0,0,1,0,1.1278820109262047
0.4966305861569173,1,0,0,0,1,0,0.2464618309915142
1.2613246458782552,1,0,0,0,1,0,0.5115189734062421
1.2613246458782552,1,0,0,0,1,0,-1.8003683243222177
-1.1272533753764713,1,0,0,0,1,0,0.6692910819864373
1.1520826373466357,1,0,0,0,1,0,0.3285033274532157
-1.1419995418173785,1,0,0,0,1,0,0.9869389272612302
0.7697356074859666,1,0,0,0,1,0,1.352970219167283
-0.854148354047422,1,0,0,0,1,0,-1.8592699115254907
-1.1966205460831885,1,0,0,1,0,0,-2.153777847541855
1.2613246458782552,1,0,0,0,1,0,1.279343235163192
0.34751373980039507,1,0,0,0,1,0,0.5157262296350473
-1.1419995418173785,1,0,0,0,1,0,0.12234777224176067
1.1520826373466357,1,0,0,0,1,0,-0.02069893953761628
1.1520826373466357,1,0,0,0,1,0,0.8838611496555027
-0.48654749062766023,1,0,0,0,1,0,0.8754466371978923
-1.1419995418173785,1,0,0,0,1,0,0.5094153452918395
-1.1966205460831885,1,0,0,1,0,0,-2.153777847541855
-1.1419995418173785,1,0,0,0,1,0,1.283550491391997
-1.1419995418173785,1,0,0,0,1,0,-0.016491683308811074
-1.1419995418173785,1,0,0,0,1,0,-1.0199222938788524
1.2613246458782552,1,0,0,0,1,0,-0.7885232012945661
-0.10420046076699119,1,0,0,0,1,0,0.7744724877065674
-1.1272533753764713,1,0,0,0,1,0,0.11182963166974766
0.34751373980039507,1,0,0,0,1,0,0.528347998321463
1.1520826373466357,1,0,0,0,1,0,0.26749811213554026
-1.1419995418173785,1,0,0,0,1,0,0.28432713705076107
1.1520826373466357,1,0,0,0,1,0,0.8796538934266975
-1.1419995418173785,1,0,0,0,1,0,-0.2520980321219025
1.2613246458782552,1,0,0,0,1,0,0.5725241887239175
1.2613246458782552,1,0,0,0,1,0,1.0963275892101656
1.2613246458782552,1,0,0,0,1,0,0.29694890573717664
1.1520826373466357,1,0,0,0,1,0,0.4252702207157354
-0.48654749062766023,1,0,0,0,1,0,0.27170536836434545
0.6604935989543469,1,0,0,0,1,0,0.40213031145730677
-1.0726323711106613,1,0,0,0,1,0,0.18124935944503354
0.27814656909367785,1,0,0,0,1,0,-1.3312592548104376
0.11428355629624826,1,0,0,0,1,0,-0.1363984858297594
1.1520826373466357,1,0,0,0,1,0,-1.4974458758482432
-0.10420046076699119,1,0,0,0,1,0,0.21280378116107257
1.1520826373466357,1,0,0,0,1,0,0.055031672580877405
0.6604935989543469,1,0,0,0,1,0,-1.577383744195542
1.2613246458782552,1,0,0,0,1,0,0.37478314597007295
0.6752397653952542,1,0,0,0,1,0,0.7450216941049309
-1.1419995418173785,1,0,0,0,1,0,-1.1314145839421903
-1.1966205460831885,1,0,0,1,0,0,-2.147466963198647
-1.1272533753764713,1,0,0,0,1,0,0.43999561751655364
1.1520826373466357,1,0,0,0,1,0,-2.122223425825816
1.1520826373466357,1,0,0,0,1,0,0.46734278300378745
1.1520826373466357,1,0,0,0,1,0,-0.24789077589309733
0.6206187611294444,1,0,0,0,1,0,-0.06277150182566832
1.2613246458782552,1,0,0,0,1,0,0.8775502653122949
0.6604935989543469,1,0,0,0,1,0,1.157332804527841
-1.1419995418173785,1,0,0,0,1,0,0.3011561619659819
1.2613246458782552,1,0,0,0,1,0,0.3074670463091897
0.5113767525978247,1,0,0,0,1,0,0.33691783991082613
-1.1419995418173785,1,0,0,0,1,0,0.4231665926013328
-0.2680634735644208,1,0,0,0,1,0,0.5851459574103332
-1.1419995418173785,1,0,0,0,1,0,0.29484527762277407
-1.1419995418173785,1,0,0,0,1,0,-1.33336288292484
-1.1272533753764713,1,0,0,0,1,0,-1.3102229736664115
1.2613246458782552,1,0,0,0,1,0,-0.20161095737624007
-0.32268447783023063,1,0,0,0,1,0,0.713467272388892
-1.1419995418173785,1,0,0,0,1,0,0.27170536836434545
-0.2134424692986109,1,0,0,0,1,0,-0.127983973372149
1.2613246458782552,1,0,0,0,1,0,-0.4729789841341758
-0.2134424692986109,1,0,0,0,1,0,0.00664822594961755
-1.1419995418173785,1,0,0,0,1,0,1.3613847316248935
1.0974616330808258,1,0,0,0,1,0,-0.3173105036683832
-1.1419995418173785,1,0,0,0,1,0,-1.7961610680934126
-1.1419995418173785,1,0,0,0,1,0,0.7239854129609049
1.2613246458782552,1,0,0,0,1,0,-0.0038699146223954615
1.2613246458782552,1,0,0,0,1,0,0.28643076516516364
-1.1272533753764713,1,0,0,0,1,0,-0.010180798965603269
0.11428355629624826,1,0,0,0,1,0,0.48417180791900827
1.2613246458782552,1,0,0,0,1,0,0.02558087897924097
-1.1419995418173785,1,0,0,0,1,0,0.4210629644869302
-1.1419995418173785,1,0,0,0,1,0,-0.09222229542730476
1.1520826373466357,1,0,0,0,1,0,0.6840164787872555
